Word,Count
the,64
he,43
a,40
to,36
and,34
it,34
was,30
i,26
s,25
t,23
dumbledore,23
you,19
his,19
professor,18
of,18
on,17
all,17
mcgonagall,16
she,16
that,16
said,15
had,14
be,14
in,14
know,13
at,13
y,13
harry,13
re,12
ou,12
for,12
but,12
e,11
have,11
they,11
him,11
as,10
cat,10
ztcprep,10
potter,10
www,10
com,10
can,9
who,9
her,9
been,8
name,7
out,7
saying,7
d,7
oldemort,6
street,6
j,6
k,6
people,6
rowling,6
are,6
here,6
w,6
stone,6
v,6
not,6
p,6
philosophers,6
so,6
this,6
ve,6
never,6
day,6
if,6
were,6
g,6
didn,5
eyes,5
something,5
did,5
lemon,5
what,5
even,5
no,5
only,5
very,5
couldn,5
down,5
little,5
will,5
back,4
how,4
f,4
gone,4
up,4
looking,4
me,4
them,4
my,4
much,4
reason,4
seemed,4
went,4
going,4
everyone,4
wall,4
kill,4
why,4
about,4
by,4
though,4
half,4
cloak,4
long,3
which,3
put,3
oh,3
pocket,3
way,3
head,3
next,3
told,3
when,3
believe,3
clicked,3
wearing,3
seen,3
two,3
like,3
boy,3
now,3
one,3
around,3
just,3
watching,3
letter,3
man,3
famous,3
into,3
think,3
looked,3
suppose,3
has,3
drop,3
from,3
ll,3
because,3
albus,3
don,2
watch,2
1,2
seems,2
aunt,2
our,2
too,2
uncle,2
disappeared,2
would,2
son,2
come,2
haven,2
exactly,2
last,2
glasses,2
mean,2
woman,2
rather,2
live,2
instead,2
explain,2
tell,2
turned,2
written,2
muggle,2
rumors,2
moment,2
dear,2
stif,2
years,2
us,2
stars,2
knows,2
shooting,2
owls,2
dark,2
any,2
notice,2
call,2
sense,2
muggles,2
drops,2
reached,2
right,2
sharp,2
snif,2
true,2
must,2
celebrating,2
eleven,2
really,2
is,2
find,2
sitting,2
potters,2
lily,2
james,2
frightened,2
after,2
before,2
look,2
realize,2
inside,2
appeared,2
silver,2
boots,2
suddenly,2
where,2
its,2
their,2
left,2
found,2
seem,2
until,2
outer,2
lamp,2
moon,2
spectacles,2
with,2
ground,2
everything,2
window,2
hair,2
see,2
enough,2
being,2
number,2
four,2
nothing,2
known,2
able,2
wouldn,2
choosing,1
ever,1
judging,1
narrowed,1
however,1
another,1
privet,1
tried,1
answer,1
pressed,1
trembled,1
gasped,1
voice,1
night,1
bowed,1
hollow,1
old,1
13,1
thin,1
heavily,1
rumor,1
shoulder,1
tall,1
patted,1
drive,1
dead,1
want,1
godric,1
such,1
whatever,1
shot,1
earmuf,1
new,1
liked,1
9,1
pomfrey,1
madam,1
since,1
blushed,1
lucky,1
use,1
noble,1
well,1
powers,1
calmly,1
flatter,1
12,1
tuck,1
fs,1
flying,1
plain,1
both,1
stare,1
piercing,1
power,1
fixed,1
nor,1
neither,1
hard,1
cold,1
waiting,1
real,1
discuss,1
anxious,1
most,1
point,1
beard,1
stopped,1
finally,1
or,1
stop,1
somehow,1
these,1
repeated,1
corner,1
older,1
firmly,1
place,1
best,1
sweets,1
screaming,1
mother,1
kicking,1
saw,1
got,1
less,1
pointing,1
feet,1
14,1
jumping,1
faintly,1
understand,1
silently,1
moved,1
remember,1
won,1
talk,1
walk,1
turn,1
top,1
over,1
seriously,1
world,1
child,1
every,1
books,1
there,1
future,1
today,1
surprised,1
legend,1
cried,1
thought,1
broke,1
great,1
beneath,1
dabbed,1
handkerchief,1
lace,1
pulled,1
may,1
guess,1
survive,1
heaven,1
dif,1
things,1
astounding,1
killed,1
done,1
faltered,1
glumly,1
nodded,1
gave,1
took,1
family,1
golden,1
popped,1
bring,1
tail,1
places,1
twitched,1
es,1
late,1
hagrid,1
made,1
edge,1
moving,1
planets,1
numbers,1
hands,1
twelve,1
odd,1
examined,1
ferent,1
unsticking,1
admiring,1
times,1
impatiently,1
held,1
air,1
yes,1
nearest,1
angrily,1
fed,1
parties,1
feasts,1
dozen,1
passed,1
pop,1
again,1
could,1
flickered,1
darkness,1
welve,1
open,1
bit,1
more,1
room,1
amuse,1
ell,1
chuckled,1
muttered,1
should,1
flocks,1
heard,1
living,1
careful,1
dursleys,1
jerked,1
news,1
cigarette,1
noticed,1
lighter,1
flicked,1
brick,1
fly,1
completely,1
lights,1
markings,1
shape,1
square,1
anything,1
severe,1
happening,1
smiling,1
pavement,1
slipped,1
tabby,1
smile,1
set,1
10,1
toward,1
seeing,1
fancy,1
spoke,1
dursley,1
mrs,1
eyed,1
fled,1
sit,1
whole,1
tiny,1
pinpricks,1
asked,1
distance,1
anyone,1
ruf,1
an,1
distinctly,1
bun,1
tight,1
drawn,1
black,1
beady,1
emerald,1
sight,1
stupid,1
exasperated,1
nose,1
sensible,1
surely,1
say,1
coldly,1
thank,1
fond,1
m,1
sweet,1
kind,1
blue,1
light,1
care,1
ould,1
thankful,1
certainly,1
bright,1
sparkling,1
person,1
yourself,1
buckled,1
confusing,1
sounding,1
belt,1
robes,1
purple,1
swept,1
keep,1
we,1
gets,1
nonsense,1
sat,1
flinched,1
high,1
heeled,1
proper,1
persuade,1
trying,1
behind,1
crooked,1
bound,1
broken,1
lose,1
irritably,1
rummaging,1
celebrate,1
precious,1
gently,1
watched,1
blame,1
still,1
staring,1
other,1
diggle,1
dedalus,1
bet,1
end,1
kent,1
some,1
busy,1
heads,1
unwelcome,1
threw,1
least,1
thing,1
fine,1
twice,1
hoping,1
glance,1
sideways,1
swapping,1
downright,1
clothes,1
arrived,1
dressed,1
daylight,1
broad,1
streets,1
careless,1
better,1
